frame,prediction,true_label,is_correct,difference
13493,2,22,False,"{'expected': '22', 'got': '2'}"
13494,2,22,False,"{'expected': '22', 'got': '2'}"
13501,2,22,False,"{'expected': '22', 'got': '2'}"
13502,2,22,False,"{'expected': '22', 'got': '2'}"
13534,2,22,False,"{'expected': '22', 'got': '2'}"
13535,2,22,False,"{'expected': '22', 'got': '2'}"
13589,1,11,False,"{'expected': '11', 'got': '1'}"
13590,1,11,False,"{'expected': '11', 'got': '1'}"
13665,12,17,False,"{'expected': '17', 'got': '12'}"
13708,2,22,False,"{'expected': '22', 'got': '2'}"
13709,2,22,False,"{'expected': '22', 'got': '2'}"
14191,2,27,False,"{'expected': '27', 'got': '2'}"
14192,2,22,False,"{'expected': '22', 'got': '2'}"
14199,2,22,False,"{'expected': '22', 'got': '2'}"
14200,2,22,False,"{'expected': '22', 'got': '2'}"
14201,2,22,False,"{'expected': '22', 'got': '2'}"
14202,2,22,False,"{'expected': '22', 'got': '2'}"
14206,2,22,False,"{'expected': '22', 'got': '2'}"
14207,2,22,False,"{'expected': '22', 'got': '2'}"
14212,2,22,False,"{'expected': '22', 'got': '2'}"
14213,2,22,False,"{'expected': '22', 'got': '2'}"
14216,1,11,False,"{'expected': '11', 'got': '1'}"
14217,1,11,False,"{'expected': '11', 'got': '1'}"
14220,2,22,False,"{'expected': '22', 'got': '2'}"
14221,2,22,False,"{'expected': '22', 'got': '2'}"
14222,2,22,False,"{'expected': '22', 'got': '2'}"
14309,21,27,False,"{'expected': '27', 'got': '21'}"
14580,3,35,False,"{'expected': '35', 'got': '3'}"
14852,2,22,False,"{'expected': '22', 'got': '2'}"
14853,2,22,False,"{'expected': '22', 'got': '2'}"
14908,2,22,False,"{'expected': '22', 'got': '2'}"
14909,2,22,False,"{'expected': '22', 'got': '2'}"
14910,2,22,False,"{'expected': '22', 'got': '2'}"
14911,2,22,False,"{'expected': '22', 'got': '2'}"
14912,2,22,False,"{'expected': '22', 'got': '2'}"
15245,3,32,False,"{'expected': '32', 'got': '3'}"
15360,25,29,False,"{'expected': '29', 'got': '25'}"
15393,1,11,False,"{'expected': '11', 'got': '1'}"
15394,1,11,False,"{'expected': '11', 'got': '1'}"
15608,1,11,False,"{'expected': '11', 'got': '1'}"
15629,2,22,False,"{'expected': '22', 'got': '2'}"
15630,2,22,False,"{'expected': '22', 'got': '2'}"
15631,2,22,False,"{'expected': '22', 'got': '2'}"
15702,2,22,False,"{'expected': '22', 'got': '2'}"
15703,2,22,False,"{'expected': '22', 'got': '2'}"
15859,31,37,False,"{'expected': '37', 'got': '31'}"
15906,8,26,False,"{'expected': '26', 'got': '8'}"
16016,1,11,False,"{'expected': '11', 'got': '1'}"
16017,1,11,False,"{'expected': '11', 'got': '1'}"
16018,1,11,False,"{'expected': '11', 'got': '1'}"
16019,1,11,False,"{'expected': '11', 'got': '1'}"
16361,2,22,False,"{'expected': '22', 'got': '2'}"
16362,2,22,False,"{'expected': '22', 'got': '2'}"
16704,2,22,False,"{'expected': '22', 'got': '2'}"
16705,2,22,False,"{'expected': '22', 'got': '2'}"
16706,2,22,False,"{'expected': '22', 'got': '2'}"
16707,2,22,False,"{'expected': '22', 'got': '2'}"
17533,2,22,False,"{'expected': '22', 'got': '2'}"
17534,2,22,False,"{'expected': '22', 'got': '2'}"
17545,8,18,False,"{'expected': '18', 'got': '8'}"
18186,19,79,False,"{'expected': '79', 'got': '19'}"
18209,2,22,False,"{'expected': '22', 'got': '2'}"
18210,2,22,False,"{'expected': '22', 'got': '2'}"
19663,1,11,False,"{'expected': '11', 'got': '1'}"
19664,1,11,False,"{'expected': '11', 'got': '1'}"
19675,2,22,False,"{'expected': '22', 'got': '2'}"
19676,2,22,False,"{'expected': '22', 'got': '2'}"
19677,2,22,False,"{'expected': '22', 'got': '2'}"
19682,2,22,False,"{'expected': '22', 'got': '2'}"
19683,2,22,False,"{'expected': '22', 'got': '2'}"
20465,2,22,False,"{'expected': '22', 'got': '2'}"
20466,2,22,False,"{'expected': '22', 'got': '2'}"
20556,3,35,False,"{'expected': '35', 'got': '3'}"
20820,3,33,False,"{'expected': '33', 'got': '3'}"
20873,2,22,False,"{'expected': '22', 'got': '2'}"
20874,2,22,False,"{'expected': '22', 'got': '2'}"
20877,2,22,False,"{'expected': '22', 'got': '2'}"
21384,2,22,False,"{'expected': '22', 'got': '2'}"
21385,2,22,False,"{'expected': '22', 'got': '2'}"
21395,2,22,False,"{'expected': '22', 'got': '2'}"
21396,2,22,False,"{'expected': '22', 'got': '2'}"
21397,2,22,False,"{'expected': '22', 'got': '2'}"
21398,2,22,False,"{'expected': '22', 'got': '2'}"
21443,2,22,False,"{'expected': '22', 'got': '2'}"
21444,2,22,False,"{'expected': '22', 'got': '2'}"
21445,2,22,False,"{'expected': '22', 'got': '2'}"
21486,2,22,False,"{'expected': '22', 'got': '2'}"
21487,2,22,False,"{'expected': '22', 'got': '2'}"
21637,2,22,False,"{'expected': '22', 'got': '2'}"
21638,2,23,False,"{'expected': '23', 'got': '2'}"
21650,2,22,False,"{'expected': '22', 'got': '2'}"
21651,2,22,False,"{'expected': '22', 'got': '2'}"
21653,17,19,False,"{'expected': '19', 'got': '17'}"
21812,3,34,False,"{'expected': '34', 'got': '3'}"
21824,5,6,False,"{'expected': '6', 'got': '5'}"
21857,3,32,False,"{'expected': '32', 'got': '3'}"
22933,15,19,False,"{'expected': '19', 'got': '15'}"
23036,1,11,False,"{'expected': '11', 'got': '1'}"
23037,1,11,False,"{'expected': '11', 'got': '1'}"
23038,1,11,False,"{'expected': '11', 'got': '1'}"
23046,1,11,False,"{'expected': '11', 'got': '1'}"
23047,1,11,False,"{'expected': '11', 'got': '1'}"
23048,1,11,False,"{'expected': '11', 'got': '1'}"
23049,1,11,False,"{'expected': '11', 'got': '1'}"
23160,4,74,False,"{'expected': '74', 'got': '4'}"
23278,1,11,False,"{'expected': '11', 'got': '1'}"
23279,1,11,False,"{'expected': '11', 'got': '1'}"
23283,1,11,False,"{'expected': '11', 'got': '1'}"
23284,1,11,False,"{'expected': '11', 'got': '1'}"
23424,2,22,False,"{'expected': '22', 'got': '2'}"
23425,2,22,False,"{'expected': '22', 'got': '2'}"
23546,1,11,False,"{'expected': '11', 'got': '1'}"
23547,1,11,False,"{'expected': '11', 'got': '1'}"
23548,1,11,False,"{'expected': '11', 'got': '1'}"
23555,30,38,False,"{'expected': '38', 'got': '30'}"
23869,6,35,False,"{'expected': '35', 'got': '6'}"
24227,3,31,False,"{'expected': '31', 'got': '3'}"
24472,0,0 ,False,"{'expected': '0 ', 'got': '0'}"
24473,0,0 ,False,"{'expected': '0 ', 'got': '0'}"
24509,25,15,False,"{'expected': '15', 'got': '25'}"
24587,302,30,False,"{'expected': '30', 'got': '302'}"
24856,8,36,False,"{'expected': '36', 'got': '8'}"
25163,30 32,30 35 40,False,"{'expected': '30 35 40', 'got': '30 32'}"
25164,30 32,30 35 40,False,"{'expected': '30 35 40', 'got': '30 32'}"
25165,30 32,30 35 40,False,"{'expected': '30 35 40', 'got': '30 32'}"
25166,30 32,30 35 40,False,"{'expected': '30 35 40', 'got': '30 32'}"
25167,30 32,30 35 40,False,"{'expected': '30 35 40', 'got': '30 32'}"
25168,30 32,30 35 40,False,"{'expected': '30 35 40', 'got': '30 32'}"
25169,30 32,30 35 40,False,"{'expected': '30 35 40', 'got': '30 32'}"
25170,30 32,30 35 40,False,"{'expected': '30 35 40', 'got': '30 32'}"
25171,30 32,30 35 40,False,"{'expected': '30 35 40', 'got': '30 32'}"
25172,30 32,30 35 40,False,"{'expected': '30 35 40', 'got': '30 32'}"
25173,30 32,30 35 40,False,"{'expected': '30 35 40', 'got': '30 32'}"
25174,30 32,30 35 40,False,"{'expected': '30 35 40', 'got': '30 32'}"
25175,30 32,30 35 40,False,"{'expected': '30 35 40', 'got': '30 32'}"
